timestamp,ticker,option_type,strike,expiry_date,current_option_price,risk_free_r,volatility_used,accepted_models,weighted_price,best_model,single_best_price,recommendation
2026-01-24 13:45:19.250197,NDX,call,12000.0,2026-05-15,13875.9,0.005,0.1574442556496302,BlackScholes|Black76|BinomialCRR|MonteCarloEuropean|Bachelier|AsianOptionArithmetic,13612.66566163363,BlackScholes,13623.703413099687,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-24 13:46:44.497712,NDX,call,25700.0,2026-03-02,565.6,0.005,0.1805173370958883,BinaryOption,0.4662785277886588,BinaryOption,0.4662785277886589,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 12:29:36.385369,NVDA,call,175.0,2026-03-06,22.3,0.005,0.3417329151888343,AsianOptionArithmetic,16.625353794331627,AsianOptionArithmetic,16.625353794331627,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 12:30:53.958261,NVDA,call,175.0,2026-03-06,22.3,0.005,0.3417329151888343,AsianOptionArithmetic,16.436886824697094,AsianOptionArithmetic,16.436886824697094,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 12:41:54.317889,NVDA,call,175.0,2026-03-06,0.0,0.005,0.3417329151888343,AsianOptionArithmetic,16.39219722493654,AsianOptionArithmetic,16.39219722493654,THE PRICE OF THE OPTION IS EXPECTED TO RISE. THE SYSTEM RECOMMENDS YOU TO BUY THE OPTION.
2026-01-31 12:42:34.237654,NVDA,call,175.0,2026-03-06,0.0,0.005,0.3417329151888343,AsianOptionArithmetic,16.726355501113026,AsianOptionArithmetic,16.726355501113026,THE PRICE OF THE OPTION IS EXPECTED TO RISE. THE SYSTEM RECOMMENDS YOU TO BUY THE OPTION.
2026-01-31 12:56:25.356235,NVDA,call,175.0,2026-03-06,22.3,-0.05,0.3417329151888343,AsianOptionArithmetic,16.04206529427697,AsianOptionArithmetic,16.04206529427697,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 13:14:33.776847,NVDA,call,175.0,2026-03-06,22.3,0.005,0.3417329151888343,AsianOptionArithmetic,16.745836836733144,AsianOptionArithmetic,16.745836836733144,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 13:26:55.575165,NVDA,call,175.0,2026-03-06,22.3,0.005,0.3417329151888343,AsianOptionArithmetic,16.33241082467097,AsianOptionArithmetic,16.33241082467097,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 13:28:36.951397,NVDA,call,175.0,2026-03-06,22.3,0.005,0.3417329151888343,AsianOptionArithmetic,16.759244552765296,AsianOptionArithmetic,16.759244552765296,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 13:32:01.686858,MSFT,call,390.0,2026-03-06,43.45,0.005,0.2573143797691758,Bachelier,42.19639128377808,Bachelier,42.19639128377808,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 13:45:58.498678,MSFT,call,390.0,2026-03-06,43.45,0.005,0.236661326341101,Bachelier,41.69667007393623,Bachelier,41.69667007393623,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 14:42:30.118767,MSFT,call,175.0,2026-03-06,43.45,0.005,0.2573143797691758,BlackScholes|Black76|BinomialCRR|MonteCarloEuropean|Bachelier|AsianOptionArithmetic,255.359705748848,Bachelier,255.17113403441545,THE PRICE OF THE OPTION IS EXPECTED TO RISE. THE SYSTEM RECOMMENDS YOU TO BUY THE OPTION.
2026-01-31 14:43:01.876894,MSFT,call,390.0,2026-03-06,43.45,0.005,0.2573143797691758,Bachelier,42.19639128377808,Bachelier,42.19639128377808,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 14:43:46.747871,MSFT,call,235.0,2026-03-06,26.75,0.005,0.2573143797691758,BlackScholes|Black76|BinomialCRR|MonteCarloEuropean|Bachelier|AsianOptionArithmetic,195.30122904970645,AsianOptionArithmetic,194.84514839172,THE PRICE OF THE OPTION IS EXPECTED TO RISE. THE SYSTEM RECOMMENDS YOU TO BUY THE OPTION.
2026-01-31 14:44:19.266048,AAPL,call,235.0,2026-03-06,26.75,0.005,0.1928220269974239,Bachelier,24.82078659629019,Bachelier,24.82078659629019,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 14:45:32.906036,AAPL,call,235.0,2026-03-20,26.75,0.005,0.1928220269974239,Bachelier,25.2067620396116,Bachelier,25.2067620396116,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 14:46:48.018075,AAPL,call,235.0,2026-02-13,26.75,0.005,0.1928220269974239,AsianOptionArithmetic,24.453291043784223,AsianOptionArithmetic,24.453291043784223,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 14:48:02.973441,AAPL,call,235.0,2026-12-18,45.45,0.005,0.2839414677228589,AsianOptionArithmetic,31.1508191634332,AsianOptionArithmetic,31.1508191634332,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 15:02:10.726594,META,call,645.0,2026-04-17,90.55,0.005,0.3321974713555015,AsianOptionArithmetic,74.86590405352479,AsianOptionArithmetic,74.8659040535248,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 15:04:53.791011,META,call,645.0,2026-04-17,90.55,0.005,0.3321974713555015,AsianOptionArithmetic,75.36315568110057,AsianOptionArithmetic,75.36315568110057,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 15:05:33.033130,META,call,645.0,2026-04-17,90.55,0.005,0.3321974713555015,BlackScholes|Black76|BinomialCRR|MonteCarloEuropean|Bachelier|BinaryOption|AsianOptionArithmetic,70.59464420697411,AsianOptionArithmetic,75.18389826886698,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 15:25:58.596546,META,call,645.0,2026-04-17,90.55,0.005,0.3321974713555015,AsianOptionArithmetic,75.91203099926469,AsianOptionArithmetic,75.91203099926469,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 15:32:35.699464,NFLX,call,76.0,2026-03-13,9.2,0.005,0.3102422706928239,AsianOptionArithmetic,7.486785004789104,AsianOptionArithmetic,7.486785004789104,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
2026-01-31 15:36:28.922796,NFLX,call,76.0,2026-03-13,9.2,0.005,0.3102422706928239,BlackScholes|Black76|BinomialCRR|MonteCarloEuropean|Bachelier|AsianOptionArithmetic,8.20575568705898,AsianOptionArithmetic,7.619439187130974,THE PRICE OF THE OPTION IS EXPECTED TO FALL. THE SYSTEM RECOMMENDS YOU TO NOT BUY THE OPTION.
